First Name,Middle Name,Last Name,Birthday,Commodity,FarmLocation,Area,Variety,PlantingDate
Danilo,,Tumbaga,04/04/1978,Corn,Brgy. Galarin,2 ha,IPB Var 4,11/28/2025
Danilo,,Tumbaga,04/04/1978,Corn,Brgy. Galarin,1.5 ha,IPB 9125,01/20/2026
Danilo,,Tumbaga,04/04/1978,Corn,Brgy. Galarin,1 ha,DK 818,02/17/2026
Erlinda,,Agtuca,08/19/1970,Corn,Brgy. Chocolyn,0.75 ha,DK 818,12/15/2025
Marites,,Dungao,07/09/1968,Corn,Brgy. Pasi,1 ha,White Flint Native,01/08/2026
Jose,,Bugnay,02/26/1985,Corn,Brgy. Dipasukat,2.5 ha,NK 6410,02/11/2026
Norma,,Killay,06/12/1963,Corn,Brgy. Magasid,1.25 ha,IPB Var 4,01/30/2026
Alberto,,Wandag,12/03/1972,Corn,Brgy. Laoa,3 ha,IPB 9125,02/22/2026
Shirley,,Palencia,09/14/1991,Corn,Brgy. Bitnanga,1 ha,NK 6410,03/18/2026
Cristino,,Balweg,05/05/1985,Corn,Brgy. Cabalaoangan,,,
