Name,Birthday,Commodity,FarmLocation,Area,Variety,PlantingDate
Juan Dela Cruz,03/15/1975,Rice,Brgy. San Juan,1.5 ha,NSIC Rc222,01/12/2026
Juan Dela Cruz,03/15/1975,Rice,Brgy. San Juan,0.75 ha,NSIC Rc160,02/03/2026
Marites Dungao,07/09/1968,Rice,Brgy. Pasi,2 ha,NSIC Rc402,01/25/2026
"Dungao, Marites",07/09/1968,Rice,Brgy. Pasi,1.25 ha,NSIC Rc222,02/20/2026
Pedro Banganan,11/22/1980,Rice,Brgy. Carael,1 ha,PSB Rc82,12/18/2025
Pedro Banganan,11/22/1980,Rice,Brgy. Carael,1 ha,NSIC Rc160,
Grace Cayat,05/30/1972,Rice,Brgy. Tandoc,3 ha,NSIC Rc238,02/14/2026
Roberto Muñoz,09/08/1965,Rice,Brgy. Polong,1.5 ha,NSIC Rc222,03/02/2026
Liza Gawisan,01/17/1990,Rice,Brgy. Andarayan,,,
Elias Tabin,06/06/1958,Rice,Brgy. Bacdeco,,NSIC Rc222,01/08/2026
Ruby Ananayo,10/29/1987,Rice,Brgy. Calantac,2.5 ha,NSIC Rc402,03/05/2026
